,Text,Verified,Protected,Location,Followers,VerifiedRetweet,Source,NumTweetChars
42,"A Planned $35-million Upgrade Could Enable LIGO to Spot One Black-Hole Merger Per Day. #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux
 https://t.co/dsAYgFaaSQ https://t.co/T2SytWhVDm",FALSE,FALSE,YES,1,FALSE,other,299
43,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,1,FALSE,other,301
44,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,YES,1,FALSE,other,247
45,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,YES,1,FALSE,other,252
46,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,1,FALSE,other,296
47,"Challenging Common Assumptions in Disentangled Representations. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/27mtbTv9B0 https://t.co/YN4CGCov9L",FALSE,FALSE,YES,1,FALSE,other,297
48,"""PowerBI a powerful analysis and visualisation tool that in particular allows for the creation of dashboard style reports (See here for samples)."" https://t.co/rU3XRx9GvM #rstats #PowerBI #DataScience https://t.co/N9eeeaKaml",FALSE,FALSE,YES,1,FALSE,other,224
49,"Roses Are Red, Violets Are Blue, Statistics Can Be Romantic Too! https://t.co/XRHZTbNiDO #rstats #DataScience",FALSE,FALSE,YES,1,FALSE,other,109
50,"Reverse-Engineering the New �Captchaless� ReCaptcha System. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/CJUfmLfuJZ https://t.co/L6ngzUnLqG",FALSE,FALSE,YES,1,FALSE,other,289
51,"A lengthy, but worthwhile read. Check it out! #rstats #python #DataScience #IOPsych https://t.co/NdhuKDA6FB",FALSE,FALSE,YES,0,FALSE,other,107
52,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,YES,1,FALSE,other,247
53,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,1,FALSE,other,301
54,"Security Monkey Monitors #AWS for Changes Over Time. #BigData #Analytics #MachineLearning #DataScience #AI #CyberSecurity #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/DUzCRnm03h https://t.co/wHxnO0I2AC",FALSE,FALSE,YES,1,FALSE,other,301
55,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,YES,1,FALSE,other,252
56,"#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,NO,0,FALSE,Twitter Web App,200
57,"In Australia (or NZ!) and want to improve your function writing skills and learn how to make packages? I'll be teaching ""Building tidy tools"" in Sydney, May 1-2: https://t.co/vGFAw749hc #rstats (50% discount for students)",FALSE,FALSE,YES,0,TRUE,other,221
58,"Challenging Common Assumptions in Disentangled Representations. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/27mtbTv9B0 https://t.co/YN4CGCov9L",FALSE,FALSE,YES,0,FALSE,other,297
59,"Reverse-Engineering the New �Captchaless� ReCaptcha System. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/CJUfmLfuJZ https://t.co/L6ngzUnLqG",FALSE,FALSE,YES,0,FALSE,other,289
60,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,0,FALSE,other,301
61,"Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,YES,0,FALSE,other,231
62,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,0,FALSE,other,296
63,"Alaskan High School Students Struggle with College Coursework including Algebra. #BigData #Analytics #Tableau #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/fXQq6QTIwx https://t.co/8yZn9bDljq",FALSE,FALSE,YES,0,FALSE,other,302
64,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,YES,0,FALSE,other,247
65,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,1,FALSE,other,296
66,"Neural Quantum States. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/tdZUVbULor https://t.co/ghIIEhieRa",FALSE,FALSE,YES,1,FALSE,other,228
67,"A Planned $35-million Upgrade Could Enable LIGO to Spot One Black-Hole Merger Per Day. #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux
 https://t.co/dsAYgFaaSQ https://t.co/T2SytWhVDm",FALSE,FALSE,YES,1,FALSE,other,299
68,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,YES,1,FALSE,other,252
69,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,YES,1,FALSE,other,247
70,"Neural Quantum States. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/tdZUVbULor https://t.co/ghIIEhieRa",FALSE,FALSE,YES,0,FALSE,Twitter for Android,228
71,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,0,FALSE,Twitter for Android,296
72,"Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,YES,0,FALSE,Twitter for Android,231
